Name,Super,Abstract,Persistent,Final,Deprecated,Hidden,SqlTable,System,Ensemble
%BI.FolderAccess,%Library.SerialObject,,,,,,,,
%BI.FileTemplates,%Library.Persistent,,TRUE,,,,%BI.FileTemplates,,
%BI.FormDef,%Library.Persistent,,TRUE,,,,%BI.FormDef,,
%BI.Generator,,TRUE,,,,,,,
%BI.FormField,%Library.SerialObject,,,,,,,,
%BI.GridChartDisplay,,TRUE,,,,,,,
%BI.GridColSort,,TRUE,,,,,,,
%BI.GridColorScheme,,TRUE,,,,,,,
%BI.GridPivoting,,TRUE,,,,,,,
%BI.Help,,TRUE,,,,,,,
%BI.GetMail,%Library.Persistent,,TRUE,,,,%BI.GetMail,,
%BI.Hi,%Library.Persistent,,TRUE,,,,%BI.Hi,,
%BI.IJNSMSLog,%Library.Persistent,,TRUE,,,,%BI.IJNSMSLog,,
%BI.ImportList,,TRUE,,,,,,,
%BI.ImageList,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.ImageList,,
%BI.KPIList,%Library.SerialObject~%XML.Adaptor,,,,,,,,
%BI.KPI,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.KPI,,
%BI.KnowledgeCSP,,TRUE,,,,,,,
%BI.KnowledgeAttachment,%Library.Persistent,,TRUE,,,,%BI.KnowledgeAttachment,,
%BI.KnowledgeCategory,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.KnowledgeCategory,,
%BI.KnowledgeThread,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.KnowledgeThread,,
%BI.LanguageSVGCSP,,TRUE,,,,,,,
%BI.LanguageSub,,TRUE,,,,,,,
%BI.List,%Library.Persistent,,TRUE,,,,%BI.List,,
%BI.KnowledgeThreadPost,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.KnowledgeThreadPost,,
%BI.ListAttachForm,%Library.Persistent,,TRUE,,,,%BI.ListAttachForm,,
%BI.ListDrillDown,%Library.Persistent,,TRUE,,,,%BI.ListDrillDown,,
%BI.ListFolderData,,TRUE,,,,,,,
%BI.MailClient,,TRUE,,,,,,,
%BI.ListField,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.ListField,,
%BI.MailOutBox,%Library.Persistent,,TRUE,,,,%BI.MailOutBox,,
%BI.ManSession,%Library.Persistent,,TRUE,,,,%BI.ManSession,,
%BI.MailV2,%Library.Persistent,,TRUE,,,,%BI.MailV2,,
%BI.MapKPI,%Library.SerialObject,,,,,,,,
%BI.Map,%Library.Persistent,,TRUE,,,,%BI.Map,,
%BI.MapTable,%Library.Persistent,,TRUE,,,,%BI.MapTable,,
%BI.Measure,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.Measure,,
%BI.Miner,%BI.MinerParams~%Library.Populate,TRUE,,,,,,,
%BI.MinerParams,,TRUE,,,,,,,
%BI.MinerTask,,TRUE,,,,,,,
%BI.MinerUtils,%BI.MinerParams,,,,,,,,
%BI.Messages,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.Messages,,
%BI.OCR,%Library.Persistent,,TRUE,,,,%BI.OCR,,
%BI.OCRForm,%Library.Persistent,,TRUE,,,,%BI.OCRForm,,
%BI.OCRRule,%Library.Persistent,,TRUE,,,,%BI.OCRRule,,
%BI.PerfAlert2,,TRUE,,,,,,,
%BI.PerfAlert,%Library.Persistent,,TRUE,,,,%BI.PerfAlert,,
%BI.PerfMetMsg,%Library.SerialObject~%XML.Adaptor,,,,,,,,
%BI.PerfMet,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.PerfMet,,
%BI.PerfMetNode,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.PerfMetNode,,
%BI.Period,%Library.Persistent,,TRUE,,,,%BI.Period,,
%BI.PivotHeader,,TRUE,,,,,,,
%BI.PivotData,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.PivotData,,
%BI.Planner,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.Planner,,
%BI.PivotTable,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.PivotTable,,
%BI.PopUpCon,%Library.SerialObject,,,,,,,,
%BI.PopUp,%Library.Persistent,,TRUE,,,,%BI.PopUp,,
%BI.Presenter,%Library.Persistent,,TRUE,,,,%BI.Presenter,,
%BI.Printer,%Library.Persistent,,TRUE,,,,%BI.Printer,,
%BI.Query,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.Query,,
%BI.QueryAttachForm,%Library.Persistent,,TRUE,,,,%BI.QueryAttachForm,,
%BI.QueryCom,%Library.Persistent,,TRUE,,,,%BI.QueryCom,,
%BI.QueryDisplayFields,%Library.Persistent,,TRUE,,,,%BI.QueryDisplayFields,,
%BI.QueryVariableMgmt,,TRUE,,,,,,,
%BI.QueryDrillDown,%Library.Persistent,,TRUE,,,,%BI.QueryDrillDown,,
%BI.RangeDisplay,%Library.SerialObject~%XML.Adaptor,,,,,,,,
%BI.RecentAccess,%Library.Persistent,,TRUE,,,,%BI.RecentAccess,,
%BI.Roles,%Library.Persistent,,TRUE,,,,%BI.Roles,,
%BI.RuleWorkFlow,%Library.Persistent,,TRUE,,,,%BI.RuleWorkFlow,,
%BI.RulesSetup,,TRUE,,,,,,,
%BI.RuleWorkFlowObj,%Library.Persistent,,TRUE,,,,%BI.RuleWorkFlowObj,,
%BI.SMSTemplateMod,,TRUE,,,,,,,
%BI.SMSession,%Library.SerialObject,,,,,,,,
%BI.SMS,%Library.Persistent~%XML.Adaptor~%BI.Adaptor,,TRUE,,,,%BI.SMS,,
%BI.SMSmsg,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.SMStemplate,%Library.Persistent,,TRUE,,,,%BI.SMStemplate,,
%BI.SVGCtxtMenu,%CSP.Page,,,,,,,,
%BI.SMrTask,%Library.Persistent,,TRUE,,,,%BI.SMrTask,,
%BI.Scheduler,%Library.Persistent,,TRUE,,,,%BI.Scheduler,,
%BI.ScheduleTaskHist,%Library.Persistent,,TRUE,,,,%BI.ScheduleTaskHist,,
